time,x1_e,x2_e,x1_h,x2_h,x1_r,x2_r,sin,cos
time,x1_e,x2_e,x1_h,x2_h,x1_r,x2_r
0,0,1,0,1,0,1,0,1
0.01,0.01,1,0.01,0.99995,0.00999983333333333,0.999950000416667,0.00999983333416666,0.999950000416665
0.02,0.02,0.9999,0.019999,0.9998000025,0.0199986666916665,0.999800006666597,0.0199986666933331,0.999800006666578
0.03,0.029999,0.9997,0.029996000075,0.999550022499875,0.0299955001999963,0.999550033749042,0.0299955002024957,0.999550033748988
0.04,0.039996,0.99940001,0.039990000499995,0.999200084998,0.0399893341833025,0.999200106661083,0.0399893341866342,0.999200106660978
0.05,0.0499900001,0.99900005,0.04998000184995,0.99875022498875,0.0499791692665153,0.99875026039514,0.0499791692706783,0.998750260394966
0.06,0.0599800006,0.998500149999,0.059965005099745,0.998200487459001,0.0599640064744513,0.998200539935462,0.0599640064794446,0.998200539935204
0.07,0.06996500209999,0.997900349993,0.06994401172408,0.997550927383631,0.0699428473317105,0.997551000253639,0.0699428473375328,0.99755100025328
0.08,0.07994400559992,0.997200699972,0.0799160237973301,0.996801609720021,0.0799146939625232,0.996801706303097,0.0799146939691727,0.996801706302619
0.09,0.08991601259964,0.996401259916001,0.0898800440933405,0.995952609401562,0.0898785491905361,0.995952733012606,0.089878549198011,0.995952733011994
0.1,0.0998800251988,0.995502099790004,0.0998350761851514,0.995004011330158,0.0998334166385298,0.995004165278789,0.0998334166468281,0.995004165278026
0.11,0.1098350461967,0.994503299538017,0.109780124544644,0.99395591036774,0.109778300828055,0.993956097957627,0.109778300837175,0.993956097956697
0.12,0.11978007919208,0.993404949076049,0.119714194642094,0.992808411326775,0.119712207278982,0.992808635854981,0.119712207288919,0.992808635853866
0.13,0.129714128682841,0.992207148284129,0.12963629304563,0.991561628959788,0.129634142608942,0.991561893716103,0.129634142619695,0.991561893714788
0.14,0.139636200165682,0.9909100069973,0.139545427520575,0.990215687947884,0.139543114632671,0.990215996214169,0.139543114644236,0.990215996212637
0.15,0.149545300235655,0.989513644995643,0.149440607128678,0.988770722888281,0.149438132461224,0.988771077937807,0.149438132473599,0.988771077936042
0.16,0.159440436685611,0.988018191993287,0.159320842327204,0.987226878280849,0.159318206601066,0.987227283377641,0.159318206614246,0.987227283375627
0.17,0.169320618605544,0.986423787626431,0.169185145067896,0.985584308513663,0.169182349053014,0.985584766911841,0.169182349066996,0.985584766909561
0.18,0.179184856481809,0.984730581440375,0.17903252889578,0.983843177847559,0.179029573411045,0.983843692790684,0.179029573425824,0.983843692788121
0.19,0.189032162296212,0.982938732875557,0.188862009047811,0.982003660399709,0.188858894960928,0.982004235120131,0.188858894976501,0.98200423511727
0.2,0.198861549624968,0.981048411252595,0.198672602551355,0.98006594012621,0.1986693307787,0.980066577844417,0.198669330795061,0.980066577841242
0.21,0.208672033737494,0.979059795756345,0.20846332832249,0.978030210803691,0.208459899828954,0.978030914727654,0.2084598998461,0.978030914724148
0.22,0.218462631695057,0.976973075418971,0.218233207264111,0.975896676009925,0.218229623062945,0.975897449334457,0.218229623080869,0.975897449330606
0.23,0.228232362449247,0.97478844910202,0.227981262363847,0.973665549103484,0.227977523516491,0.973666395009589,0.227977523535188,0.973666395005375
0.24,0.237980246940267,0.972506125477528,0.237706518791763,0.97133705320239,0.237702626407669,0.971337974856622,0.237702626427135,0.97133797485203
0.25,0.247705308195043,0.970126323008125,0.247408003997848,0.968911421161813,0.247403959234295,0.968912421715631,0.247403959254523,0.968912421710645
0.26,0.257406571425124,0.967649269926174,0.257084747809266,0.966388895550776,0.257080551871171,0.966389978139909,0.257080551892155,0.966389978134513
0.27,0.267083064124386,0.965075204211923,0.266735782527383,0.963769728627906,0.266731436667097,0.963770896371711,0.266731436688831,0.963770896365891
0.28,0.276733816166505,0.962404373570679,0.276360143024536,0.9610541823162,0.276355648541636,0.961055438317032,0.276355648564114,0.961055438310771
0.29,0.286357859902212,0.959637035409014,0.285956866840547,0.958242528176839,0.285952225081621,0.958243875519415,0.285952225104836,0.958243875512697
0.3,0.295954230256302,0.956773456809992,0.295524994278973,0.955335047382025,0.295520206637395,0.955336489132795,0.29552020666134,0.955336489125606
0.31,0.305521964824402,0.953813914507429,0.305063568503079,0.952332030686866,0.305058636418777,0.952333569893389,0.305058636443444,0.952333569885713
0.32,0.315060103969476,0.950758694859185,0.314571635631523,0.949233778400301,0.314566560590736,0.949235418090618,0.314566560616118,0.949235418082441
0.33,0.324567690918068,0.94760809381949,0.324048244833744,0.946040600355066,0.324043028368779,0.946042343537081,0.324043028394868,0.946042343528387
0.34,0.334043771856263,0.94436241691031,0.333492448425053,0.942752815876711,0.333487092114025,0.942754665537572,0.333487092140815,0.942754665528346
0.35,0.343487396025366,0.941021979191747,0.342903301961399,0.939370753751666,0.342897807427971,0.939372712857152,0.342897807455452,0.939372712847379
0.36,0.352897615817283,0.937587105231493,0.352279864333818,0.935894752194365,0.352274233246926,0.935896823688269,0.35227423327509,0.935896823677935
0.37,0.362273486869598,0.934058129073321,0.361621197862545,0.932325158813417,0.361615431936123,0.932327345616945,0.361615431964962,0.932327345606034
0.38,0.371614068160331,0.930435394204625,0.370926368390786,0.928662330576851,0.370920469383478,0.928664635588011,0.370920469412983,0.92866463557651
0.39,0.380918422102378,0.926719253523021,0.380194445378135,0.924906633776414,0.380188415093,0.924909059869419,0.380188415123162,0.924909059857313
0.4,0.390185614637608,0.922910069301997,0.38942450199363,0.921058443990944,0.389418342277841,0.92106099401561,0.389418342308651,0.921060994002885
